ID,Lat,Long,Country,Villages,Livelihood,Demography,Cultural,Health,Learning,Assets,Flexibility,Agency,Organisation,Sensitivity,AdaptiveCapacity,CoralExt,seagrassExt,mangroveExt,Cropland,Nb_sp,FRic,FDiv,FEve,FDis,FSpe,FOri,cost.reef,cost.sgrass,cost.mngrov,cost.crop,TEV,cdd_126_2050,cdd_126_2100,cdd_245_2050,cdd_245_2100,cdd_370_2050,cdd_370_2100,cdd_585_2050,cdd_585_2100,evspsbl_126_2050,evspsbl_126_2100,evspsbl_245_2050,evspsbl_245_2100,evspsbl_370_2050,evspsbl_370_2100,evspsbl_585_2050,evspsbl_585_2100,npp_126_2050,npp_126_2100,npp_245_2050,npp_245_2100,npp_370_2050,npp_370_2100,npp_585_2050,npp_585_2100,pH_trend_126_2050,pH_trend_126_2100,pH_trend_245_2050,pH_trend_245_2100,pH_trend_370_2050,pH_trend_370_2100,pH_trend_585_2050,pH_trend_585_2100,r10Int_126_2050,r10Int_126_2100,r10Int_245_2050,r10Int_245_2100,r10Int_370_2050,r10Int_370_2100,r10Int_585_2050,r10Int_585_2100,r10p_126_2050,r10p_126_2100,r10p_245_2050,r10p_245_2100,r10p_370_2050,r10p_370_2100,r10p_585_2050,r10p_585_2100,sst_trend_126_2050,sst_trend_126_2100,sst_trend_245_2050,sst_trend_245_2100,sst_trend_370_2050,sst_trend_370_2100,sst_trend_585_2050,sst_trend_585_2100,sst90Int_126_2050,sst90Int_126_2100,sst90Int_245_2050,sst90Int_245_2100,sst90Int_370_2050,sst90Int_370_2100,sst90Int_585_2050,sst90Int_585_2100,sst90p_126_2050,sst90p_126_2100,sst90p_245_2050,sst90p_245_2100,sst90p_370_2050,sst90p_370_2100,sst90p_585_2050,sst90p_585_2100,tap_trend_126_2050,tap_trend_126_2100,tap_trend_245_2050,tap_trend_245_2100,tap_trend_370_2050,tap_trend_370_2100,tap_trend_585_2050,tap_trend_585_2100,ts90Int_126_2050,ts90Int_126_2100,ts90Int_245_2050,ts90Int_245_2100,ts90Int_370_2050,ts90Int_370_2100,ts90Int_585_2050,ts90Int_585_2100,ts90p_126_2050,ts90p_126_2100,ts90p_245_2050,ts90p_245_2100,ts90p_370_2050,ts90p_370_2100,ts90p_585_2050,ts90p_585_2100
BF100,-2.0711021,41.08933994,Kenya,Faza,0.222346154,0.028849267,0.112027027,0.112516923,0.210041538,0.051068885,0.036734205,0.056457692,0.085636154,0.475739371,0.439938475,9483998.551693324,12480775.50447308,12397422.566857252,1292178.617936401,142.83375113173474,0.6359115908486968,0.6088810593527835,0.4168891578402554,0.48252031009513746,0.44576447855332296,0.09590410592365133,1122905.4285204895,975572.2980826427,6090952.886477503,47786.523571655314,2162552.475721846,40.28020344021177,38.205497105120784,40.58490008889288,39.13284444919472,40.96962458896341,37.82993966882581,39.98422575994793,36.31458657034758,-1.767034339473495e-8,-9.23185308367139e-8,-9.545791841506512e-9,1.8370776922902358e-8,-5.892483225129121e-8,-7.078324768383748e-8,-4.573604949139061e-8,-4.1382800960014003e-08,1.1154403121246822e-10,3.2485514832530724e-11,1.3605937560473456e-10,1.0928590805496489e-10,1.1107499877393739e-10,1.1879107538388386e-10,2.021415371340968e-10,1.6892680294242148e-10,-4.3087427723052877e-4,1.7454979112103617e-4,-2.5822475243057297e-4,-9.325530354155424e-5,-9.40019011978026e-4,-0.0014468579648208232,-9.325837774706796e-4,-0.0014379162341002759,-9.841260520351774,-18.145767453161387,-10.096437129171797,-14.919445430181886,-11.823863362055759,-7.810745252016789,-11.62436109706747,-12.742329800203427,2.7198680346570994,2.0207374698801708,3.862782661227397,3.439437492350387,5.006894447321848,3.181365627595353,5.261639233019814,2.1650768958497246,0.01044833524092146,-0.00898922513942837,0.003283646772182688,0.0014959233746123974,0.007502487493047986,0.011433944877997858,0.0047733961738239674,0.008590954396087218,0.9405885838471759,0.06271589860551369,0.1966814866646498,0.12409802023960742,0.5080871345390594,0.14971081044953807,0.23724494836286641,0.19735326418129573,12.190189597939241,1.2571627425481977,3.608173468634312,1.5936383181207827,8.444741869588238,1.9985495400856184,3.983447046484339,2.1468269310075043,0.006815704164171199,0.0044528027262711045,-0.0010193483523914645,0.005286387712936505,3.2708896527202237e-4,0.01895359347861678,0.015638800588956243,0.008502386272877482,3.8960780439344753,3.2752771500797113,2.9121714287893106,1.9872790015290767,3.2819040376569655,1.7665296915667308,2.8750780794686737,1.627655885767393,107.32027682830481,112.26689710730078,116.62245621594923,138.03125163323637,112.18914789739702,150.68296137605066,117.24287697144327,167.37062474962704
BF101,-2.0711021,41.33933994,Kenya,Kiwayu,0.231741333,0.020203245,0.066756757,0.095573333,0.222435556,0.03202944,0.064075852,0.0557,0.072066667,0.414274669,0.446307514,9028160.8508525,25731317.286636576,20971061.396774035,935822.48216817,153.93855837702012,0.6895969779500641,0.6607620460170602,0.4538724068751614,0.5239693704840577,0.4837856515776752,0.10437593521366324,1068934.244740936,2011314.1470272348,10303250.232726257,34607.98877358864,3424140.8006363963,39.776699086773164,37.7362060802015,40.15536902207776,38.6360105709686,40.46769164936238,37.13161662250451,39.642042864650826,35.71886191645399,-2.0097999864245906e-8,-8.65462713661997e-8,-1.0258040490220624e-8,2.1576775777997634e-8,-5.855318372695959e-8,-7.040130828241707e-8,-3.343502247860105e-8,-3.756615683854352e-8,1.0518573196978987e-10,3.321567083199758e-11,1.1892605863123498e-10,1.0915697423185879e-10,1.0643129161663597e-10,1.167259766484154e-10,1.8998468225625678e-10,1.6268562576658527e-10,-3.831876573128249e-4,1.540450936520207e-4,-2.077877487315026e-4,-7.542178057916472e-5,-8.346083345647276e-4,-0.0012814099433068199,-8.271044469708088e-4,-0.0012729809294669463,-9.768580627589579,-18.614885711335866,-10.47290615290449,-15.761165951411053,-12.33295847632288,-7.594315592948162,-12.003717209119483,-14.657536977536212,2.757662359289473,1.8793284626535014,3.6234708916965936,3.10750853727848,4.5027091924786555,2.5234887973613427,4.764003231985376,1.4020711211548469,0.010753935283477848,-0.010217388932589801,0.0032455552846234453,7.385542729034143e-4,0.007749197594494191,0.012040951473478681,0.004980785361193561,0.009106934877086697,1.0653170403635244,0,0.2480793955269398,0,0.5376948949077611,0,0.28814853560306525,0,14.09012563938739,0,4.42925941118397,0,9.089799136468786,0,4.994403296373145,0,0.006763447783058086,0.004693243254819731,-0.0011955890530299434,0.006194755017812065,5.776826366998993e-4,0.019173749487007792,0.015400107843219905,0.00957451187109761,3.934129319676208,3.229042915243462,2.8156276811413146,1.943654022481973,3.2570675944786567,1.7457505050686728,2.78475010024508,1.6226988198876529,107.00803807985066,112.77502766348752,117.93764781452833,139.4047276025695,112.52957039183715,151.79445498299023,118.53492733521792,168.3468185533936
BF101,-2.0711021,41.33933994,Kenya,Ndau,0.226930462,0.018555556,0.1,0.114116923,0.201306154,0.034773804,0.058577509,0.050088462,0.086713846,0.45960294,0.431459775,9028160.8508525,25731317.286636576,20971061.396774035,935822.48216817,153.93855837702012,0.6895969779500641,0.6607620460170602,0.4538724068751614,0.5239693704840577,0.4837856515776752,0.10437593521366324,1068934.244740936,2011314.1470272348,10303250.232726257,34607.98877358864,3424140.8006363963,39.776699086773164,37.7362060802015,40.15536902207776,38.6360105709686,40.46769164936238,37.13161662250451,39.642042864650826,35.71886191645399,-2.0097999864245906e-8,-8.65462713661997e-8,-1.0258040490220624e-8,2.1576775777997634e-8,-5.855318372695959e-8,-7.040130828241707e-8,-3.343502247860105e-8,-3.756615683854352e-8,1.0518573196978987e-10,3.321567083199758e-11,1.1892605863123498e-10,1.0915697423185879e-10,1.0643129161663597e-10,1.167259766484154e-10,1.8998468225625678e-10,1.6268562576658527e-10,-3.831876573128249e-4,1.540450936520207e-4,-2.077877487315026e-4,-7.542178057916472e-5,-8.346083345647276e-4,-0.0012814099433068199,-8.271044469708088e-4,-0.0012729809294669463,-9.768580627589579,-18.614885711335866,-10.47290615290449,-15.761165951411053,-12.33295847632288,-7.594315592948162,-12.003717209119483,-14.657536977536212,2.757662359289473,1.8793284626535014,3.6234708916965936,3.10750853727848,4.5027091924786555,2.5234887973613427,4.764003231985376,1.4020711211548469,0.010753935283477848,-0.010217388932589801,0.0032455552846234453,7.385542729034143e-4,0.007749197594494191,0.012040951473478681,0.004980785361193561,0.009106934877086697,1.0653170403635244,0,0.2480793955269398,0,0.5376948949077611,0,0.28814853560306525,0,14.09012563938739,0,4.42925941118397,0,9.089799136468786,0,4.994403296373145,0,0.006763447783058086,0.004693243254819731,-0.0011955890530299434,0.006194755017812065,5.776826366998993e-4,0.019173749487007792,0.015400107843219905,0.00957451187109761,3.934129319676208,3.229042915243462,2.8156276811413146,1.943654022481973,3.2570675944786567,1.7457505050686728,2.78475010024508,1.6226988198876529,107.00803807985066,112.77502766348752,117.93764781452833,139.4047276025695,112.52957039183715,151.79445498299023,118.53492733521792,168.3468185533936
BG99,-2.3211021,40.83933994,Kenya,Matondoni,0.221699,0.031864962,0.111554054,0.140022857,0.194844286,0.055663281,0.048407238,0.053035714,0.088032857,0.505140874,0.439983376,10667691.945588948,20673222.559862506,13418533.776203733,1997085.3220506082,137.3493605381471,0.6072514470724909,0.580606464623071,0.39636120687117493,0.46004326999136425,0.42518900203111526,0.09112387301246536,1263054.7263577315,1615943.1146142127,6592632.992519103,73854.93266340006,2605316.5235499004,38.896019179986816,36.894904089465825,39.01135689660245,37.77639343257034,39.487071938879076,36.822351719036185,38.327092729293724,35.31876364981097,-1.3621176721704395e-8,-8.742762632829148e-8,-3.1946145667235577e-9,1.625534902152863e-8,-5.307930403102882e-8,-6.443204431310753e-8,-5.583869373548386e-8,-3.123080946099989e-8,1.1387767906339681e-10,3.1038835184583664e-11,1.4916983002256513e-10,1.0306667485254194e-10,1.1117095223923445e-10,1.187502317597469e-10,2.124310752194308e-10,1.707291131997746e-10,-5.932675590475409e-4,2.429013298879734e-4,-3.614277281793358e-4,-1.295151457469482e-4,-0.0012974426572936488,-0.002004530720465481,-0.0012857747617954387,-0.0020038096223857454,-8.869624541509324,-16.98004000993025,-9.378151174522571,-13.458893880889427,-10.679428182330307,-8.28367026324576,-10.315084863191473,-11.007608703383982,2.866757113671935,2.2454349741065225,4.248704732118654,3.9928598223664116,5.838821692689832,4.241281037308942,5.936668910086513,3.605136883832777,0.00805907363675377,-0.006651688764356738,0.004105728605384177,0.0026628352485290833,0.011281534007238726,0.017099460914843077,0.005338476063051054,0.010263664921792563,0.6863608622610499,0.09848595166200859,0.2884260818266339,0.19487740580016888,0.8418528327217083,0.23509846735923312,0.33948867309430836,0.30991382518100324,9.52104482174193,1.9741863203247618,4.398430183325154,2.5025709565671383,13.327356961790631,3.1384235540826224,4.763194993552382,3.3712710501658205,0.00648701658221744,0.004183209613583745,-8.959320271156633e-4,0.0038214168874973727,-1.341339365482164e-4,0.018497139255733652,0.01546186925118317,0.00661067054068962,3.791656875721146,3.235897229962292,2.9957961600464875,2.0340015851260005,3.2634506358089075,1.7718773314142215,2.9486892513996907,1.6280520485303809,108.06466385902749,112.58407572602285,115.45800703655122,136.6003691113091,112.35719093372046,150.34770766050434,116.17899369051418,166.52429396578697
BK95,-3.3211021,39.83933994,Kenya,Uyombo,0.263786118,0.030309875,0.093211447,0.109176471,0.200948889,0.052091812,0.073407653,0.060317647,0.102069412,0.49648391,0.488835413,7185061.534688186,6376939.472154681,3521598.8545913734,4089802.938196312,130.45068192242204,0.5693112157098338,0.5430053818485233,0.36821089093069415,0.430510967759895,0.3980930797669446,0.0841612278368534,850711.2857070812,498459.8507804428,1730189.6900515782,151246.47769025568,990883.8353401496,38.11925890498107,36.62064368477763,37.1862833726099,36.588778563409875,38.55818728821911,36.31070968079398,36.284695234795244,34.712142951793545,-5.257930397417081e-9,-8.683717332008208e-9,-3.5843987332177826e-8,-1.2081385283515276e-8,-7.657509137571052e-8,-6.31956671966729e-8,-6.081510466168521e-8,-3.496866389147669e-8,1.0797021399340194e-10,8.826228692252439e-11,1.0848592338980612e-10,8.926759868733754e-11,8.374303576725931e-11,1.4754509523750094e-10,2.438347876968998e-10,1.9456158580169733e-10,0,0,-1.3719469705214388e-4,-4.9073944983347564e-5,0,0,0,0,-8.404708548853002,-13.945313654376946,-9.09119274395699,-11.713776674336305,-10.495198832466734,-11.13421158982383,-8.662371583849458,-10.737688057465336,7.202584533005991,6.16333695708158,6.73432549232171,6.778991547323411,9.799245944264497,9.952701624492681,7.5336697098644265,9.286062487312103,0.005221114905085778,-0.005956297436118251,0.0015238815794124678,0.0010033806885000722,0.0015991260139865142,0.003128933641417898,0.001834619460522686,0.003813814710970365,0.4900579798376082,0,0.13654243224469337,0,0.13755645236036382,0,0.15481906361250009,0,7.8660067726150675,0,1.776470636460794,0,1.7828995957063982,0,1.9629106316506015,0,0.006780188650849142,0.006784567164676535,-0.003279470990473321,0.00439724867882876,-0.0020988509917376687,0.02174073260786456,0.01631592153031152,0.006588648909531201,3.343677733565503,2.9996006219543894,2.9967821755568775,2.066620116990405,3.2191940806545203,1.7423101052442374,2.942530203527391,1.615602972673954,111.18344434827432,114.84799532466819,115.31868515703198,135.4512197046292,112.81722378240352,151.19479709926833,116.34115672460794,167.18271342414988
BK96,-3.3211021,40.08933994,Kenya,Mida,0.290925524,0.022467187,0.101724582,0.13376,0.21316381,0.061483901,0.059417932,0.069942857,0.093208571,0.548877292,0.497217071,3178933.097717508,2212195.165154973,3545001.105636451,3515509.9696300356,151.83095746668698,0.6629378830308688,0.6322822804422565,0.4289471332057689,0.5013560512098117,0.46357117425976774,0.09804945370316012,376385.67876975297,172918.44727950363,1741687.4032080336,130008.34226648949,792931.4635022092,32.085922712887765,30.832617569893504,31.376939969371477,30.885463028786724,32.47533696082332,30.667161693135444,30.63137414228451,29.30728524005291,-9.955264566450023e-9,-1.1206158878254797e-8,-3.039753233451434e-8,-1.2966916119236771e-8,-6.37460514653519e-8,-5.523808346678306e-8,-5.880332199808104e-8,-3.023762215240612e-8,9.20622383951928e-11,7.12053625751864e-11,1.0206421477587542e-10,7.611709873485351e-11,7.184947429744639e-11,1.2138629019473868e-10,2.0678773456306607e-10,1.6094451885648483e-10,-8.947607303861515e-5,3.671710352022882e-5,-2.886870476860435e-4,-1.0342334282353568e-4,-1.9568235993666384e-4,-3.023033774584247e-4,-1.955058955934446e-4,-2.974716028371235e-4,-6.733991308938221,-11.986947751150757,-7.3785023571083945,-9.516201307269023,-8.731218803879752,-9.159190542905588,-7.0000734153024275,-8.855811902940625,5.509747247724444,4.696077175055083,5.261996601615433,5.5021944368041105,7.800711283599732,7.982816638034788,6.130339046275909,7.55870113094166,0.0088922526456897,-0.008889382689169698,0.003269406122491348,0.002124773659986676,0.003408386535459816,0.006259964453679131,0.004208608762496315,0.008174251221468275,0.7865297180876507,0.06785789412863266,0.23819956495819622,0.1342726566346584,0.24569270161424517,0.16198540643254702,0.27866554366694096,0.21353400341101184,12.594491659157393,1.3602358920644908,3.544097599175563,1.7242986654880683,3.6442020076680732,2.1624080355604516,3.849319462258258,2.3228424982496723,0.005707589246090955,0.005161487667273549,-0.0023461499999315044,0.0032806929434128287,-0.0016061284754387568,0.01788259970464734,0.013671261092525781,0.005101409103367012,3.376994123421596,2.990088171992602,2.9799269272192186,2.0284465030270056,3.1792366107839105,1.7369224053279673,2.9097980227597855,1.6150653120827607,110.91963747282718,114.9424199826651,115.47724545645652,136.3605949856649,113.18879401537947,151.5749774171806,116.73936340819748,167.41767834351003
BO94,-4.3211021,39.58933994,Kenya,Gazi,0.270536821,0.028736895,0.066846847,0.086203077,0.204749744,0.040925139,0.069339165,0.062965385,0.094418462,0.452323639,0.472397894,10070643.60802543,5941079.588784957,8123301.566731697,3065518.024564397,147.4306192962606,0.634159918460645,0.604536907401917,0.4086680128538048,0.47866396705452907,0.44289198197193724,0.09393284048336721,1192364.203190211,464390.4271369649,3991043.046147817,113367.02782942262,1554038.9460462749,25.303983799410265,24.32222270248657,24.283422790217728,23.97724163230493,25.693823888734563,24.238699976789352,23.799454767200306,23.161112657345083,-6.4423616373613455e-9,2.8677483195772575e-8,-4.188364631398337e-8,-1.1904043735154386e-8,-4.3059033087049856e-8,-2.7708648922249553e-8,-2.320536327022746e-8,-3.838580812534696e-8,6.489223638545597e-11,8.782610754471303e-11,8.14158177703198e-11,7.340037886133525e-11,5.784195823895241e-11,9.682040175751408e-11,1.4382858342167323e-10,1.3492551366905036e-10,-8.294685428896467e-4,3.4032776213550143e-4,-0.0010315641062600951,-3.677748902218814e-4,-0.0018166963661760374,-0.0027893103969500728,-0.0011248380583431682,-0.0016858654852711246,-7.022331987481723,-9.99315746796304,-6.635861666057611,-8.899104313139503,-7.6228151278461365,-9.102577703360279,-6.919025182468243,-8.88723410449931,8.031222858750883,7.101568583319057,5.992619883028083,6.277233240676065,9.019826989329358,9.942887720244592,6.042198876087362,9.472006915552026,0.00778078532395445,-0.00562063464644895,0.012712859278562248,0.005953157558765507,0.012971842237519427,0.026227499618708315,0.018097952978669438,0.033220398654458506,0.8957326614059672,0.21746092670519493,0.9680493833768414,0.40050606914945774,1.0369421003650978,0.5310685207540006,1.1066530255393692,0.6433713253364624,14.676356385321693,4.483749410836063,15.655552107881986,5.615344491032728,16.570889493009297,6.665478392874559,17.34821015798426,7.62972231584418,0.00629795019430429,0.008934102187781094,-0.003688199618414153,0.00730650206190913,-0.0023974486717416397,0.015550079205652363,0.011418919098218233,0.007049809381184744,3.1517904100345864,2.82449271226515,2.972085746737784,2.0201416912716756,3.0673203282618173,1.7225147156152238,2.8491209740407997,1.639909690114382,112.86351022024672,116.8967888361757,114.89315444187714,135.36742772018422,114.39349448994578,152.13547899356433,117.06712706688693,165.12114899176487
BP93,-4.5711021,39.33933994,Kenya,Vanga,0.33676628,0.022975547,0.070059459,0.1264,0.1960576,0.028791481,0.088765931,0.058446,0.0874212,0.556201287,0.459482213,12429136.234176893,8171208.375291226,6339042.961682997,2341019.4258908373,154.63064542702136,0.6600062401932301,0.6290148122139826,0.4250129195691083,0.49758041642169304,0.46064938557725155,0.09814969301455544,1471609.7301265441,638710.673863014,3114422.5194185497,86574.08381798617,1451430.1882989418,23.534205567657274,22.67084832066148,22.623520854180065,22.36765748578448,23.93758911964436,22.85805311775802,22.17798569566515,21.87855788117026,-1.0300157919164991e-8,3.530851048318714e-8,-5.768807474757015e-8,-2.6675013955148636e-8,-4.246177330626278e-8,-2.3996231114216374e-8,-2.301106723767948e-8,-3.754688782884084e-8,6.051880956211844e-11,6.98265924265437e-11,8.90577785140532e-11,7.805880362727895e-11,6.142499220591636e-11,8.429342478585944e-11,1.2887620448634408e-10,1.1516516152433518e-10,-6.688023866241196e-4,2.7612617165756475e-4,-0.0013324763920067352,-4.7744568424741394e-4,-0.0014694739907222321,-0.0022631800868264298,-0.0012041560382347939,-0.0018057808077826453,-7.1428162964552975,-9.688401727659818,-6.691988289958964,-8.718190717000642,-7.474401912134408,-9.07112155628834,-6.986823562203163,-9.321977656463726,7.81482664786841,7.511211417687218,6.096593109362478,6.861478240989735,9.187780785247568,10.420887025791343,6.401192428070594,10.235081770758466,0.010959180951905846,-0.008381795538619825,0.014974135353280797,0.00876598752413332,0.015615667174087987,0.029731505187435926,0.020367044723041457,0.03851304976556701,0.9725191389400824,0.2782615863529009,1.0161602867212305,0.5094740896665751,1.0816456606318305,0.6797587072376697,1.1820682993786131,0.8242219279029411,16.193753758251628,5.747225730219011,16.047532204023447,7.202207282752362,16.900920021817775,8.544215162873888,17.850257338599633,9.770836228381283,0.006853507423786137,0.008146744532977224,-0.0032755236811583817,0.006614358074365027,-0.0023703925353444257,0.01340470295547314,0.011064977827047056,0.005697185121615793,3.167564690926401,2.818485657505587,2.9865435766644235,2.0078325545503675,3.0489286073761557,1.7132407276692723,2.855860164377222,1.643556748645455,112.8476717461348,117.04661328658128,114.55886171849116,135.30321858594755,114.63992022662413,152.5502530215103,116.94981392526066,164.89008243929615
BQ92,-4.8211021,39.08933994,Tanzania,Boma Subutuni,0.421218761,0.121503075,0.037401245,0.044785599,0.078358014,0.05211359,0.082431684,0.074772713,0.170931076,0.62490868,0.458607076,13390476.797260776,11449507.174748555,9155652.40912412,1714985.502147707,156.97811713208108,0.6662645773530601,0.6349167994157909,0.42879734234414174,0.5018378832357308,0.4648509524943083,0.09936343433467264,1585432.4527956757,894962.1778213956,4498245.273821953,63422.49746734483,1911563.7726784274,24.599831317626187,23.732458862013708,23.72412777861444,23.437541767463504,25.040712366458443,24.16261488245899,23.22997260124417,23.22301995595817,-5.385979890208486e-9,3.7887382948323996e-8,-5.877906654812098e-8,-2.9027936694068488e-8,-4.271302930053324e-8,-1.8330629477120254e-8,-6.549184774874833e-9,-1.955498600115711e-8,6.981513030327365e-11,6.964546366408522e-11,8.81079902872261e-11,9.615600411579081e-11,7.067991914394677e-11,8.570767198552693e-11,1.2814302185587865e-10,1.132793237733302e-10,-4.6687287708042783e-4,1.927313508183303e-4,-0.001135055617541401,-4.083221106602555e-4,-0.001025903903209818,-0.001580683127007046,-8.558109942983716e-4,-0.0012828710414298334,-7.896709985744698,-10.801882619335146,-7.403055241387944,-9.439302869590888,-8.235012391302893,-10.0445047883179,-7.84138404700412,-10.852862528461959,8.28572636313348,8.320525865856737,6.795362494474115,8.153166945725992,10.420011192488177,11.954640009502793,7.63204558260819,12.003941836856724,0.011188402062365106,-0.010554191731009762,0.01281841290389742,0.007590344180268768,0.013263075476579053,0.025298310461431033,0.01697682781939797,0.03246296361705445,0.9777924663403998,0.2022249485025654,0.8704605026261506,0.3801456806251073,0.9184661327732927,0.5058768475135472,1.0153222896735608,0.6139585760868491,15.80799775532439,4.125221810223011,13.37539259143822,5.332532036823958,14.004434645496197,6.337149010115711,14.897133628599605,7.265102738884409,0.007936804183125337,0.008458964638682197,-0.0033895395285212476,0.00622622674294938,-0.0026944186852023255,0.012927727947139615,0.012061564696100526,0.004481793770711758,3.2458516330895617,2.8482669188538297,3.014903505016474,1.9869049217813188,3.0847959933480533,1.6969466940196203,2.876038680397162,1.6466629170223148,112.31026088528846,116.74988336064771,114.16420089669097,135.54000591660787,114.26210504865912,153.18259501281923,116.64696371630572,164.81910614739766
